Age,RoomService,FoodCourt,ShoppingMall,VRDeck,Num,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,VIP_True,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_S
-0.334,-0.341,-0.287,-0.291,0.293,-1.169,False,False,False,False,False,False,False,False,True,False,False,False
1.130,-0.341,-0.287,-0.291,-0.269,-1.167,False,True,True,False,False,False,False,False,True,False,False,False
-2.008,-0.341,-0.287,-0.291,-0.269,-1.177,False,False,False,False,False,False,False,False,False,True,False,False
-1.031,0.284,-0.287,-0.289,0.330,-1.165,False,False,False,False,False,False,False,False,True,False,False,False
-1.938,-0.341,-0.287,-0.291,-0.269,-1.177,False,False,True,False,False,False,False,True,False,False,False,True
1.409,-0.341,-0.287,-0.291,-0.269,-1.177,False,False,True,False,False,False,False,True,False,False,False,True
0.015,-0.341,-0.287,0.000,-0.269,-1.177,False,False,True,False,False,False,False,True,False,False,False,True
-1.310,-0.341,-0.287,-0.291,-0.269,-1.177,False,False,False,False,False,False,False,True,False,False,False,True
-1.938,0.000,-0.287,-0.291,-0.269,-1.177,False,False,True,False,False,False,False,True,False,False,False,True
-1.519,-0.341,-0.287,-0.291,-0.269,-1.177,False,False,False,False,False,False,False,True,False,False,False,True
-0.543,1.145,-0.286,-0.175,-0.269,-1.177,False,True,False,False,False,False,True,False,False,False,False,False
2.316,-0.341,-0.287,0.000,-0.269,-1.173,True,False,True,False,False,True,False,False,False,False,False,True
-0.962,-0.341,-0.146,-0.291,-0.269,-1.165,False,False,False,False,False,False,False,False,True,False,False,True
0.363,-0.307,3.522,-0.291,0.020,-1.177,True,False,False,False,False,True,False,False,False,False,False,False
0.991,1.365,-0.287,-0.063,-0.269,-1.161,False,True,False,False,False,False,False,False,True,False,False,False
0.224,-0.341,0.246,-0.155,0.131,-1.169,False,False,False,False,False,False,False,False,False,True,False,True
1.270,-0.016,-0.287,2.071,0.816,-1.159,False,True,False,False,False,False,False,False,True,False,False,False
-1.868,-0.341,-0.287,-0.291,-0.269,-1.159,False,True,False,False,False,False,False,False,True,False,False,False
-0.613,0.000,-0.287,2.639,-0.269,-1.159,False,True,False,False,False,False,False,False,True,False,False,False
-0.055,-0.341,-0.287,-0.291,-0.269,-1.175,True,False,True,False,False,False,True,False,False,False,False,True
-0.404,0.848,0.317,-0.291,-0.269,-1.175,False,True,False,False,False,False,True,False,False,False,False,False
-0.962,-0.341,0.021,-0.210,0.085,-1.161,False,False,False,False,False,False,False,False,True,False,False,True
-0.613,0.499,-0.165,-0.291,-0.269,-1.157,False,False,False,False,False,False,False,False,True,False,False,True
0.084,-0.341,-0.287,0.000,-0.269,-1.175,False,False,True,False,False,False,False,False,False,True,False,False
-0.822,-0.341,-0.287,-0.291,-0.269,-1.173,False,False,True,False,False,False,False,False,False,True,False,False
1.130,-0.341,-0.184,-0.215,0.485,-1.171,True,False,False,False,True,False,False,False,False,False,False,False
1.828,-0.341,-0.287,-0.291,-0.269,-1.171,False,False,True,False,False,False,False,False,False,True,False,False
-1.729,-0.341,-0.287,-0.291,-0.269,-1.171,False,False,True,False,False,False,False,False,False,True,False,False
-0.543,-0.341,-0.287,-0.291,-0.269,-1.171,False,False,True,False,False,False,False,False,False,True,False,False
-0.543,1.130,-0.287,0.010,-0.213,-1.157,False,True,False,False,False,False,False,False,True,False,False,False
-0.683,-0.341,-0.287,-0.291,-0.269,-1.157,False,True,True,False,False,False,False,False,True,False,False,False
0.433,0.857,-0.287,-0.291,-0.269,-1.175,False,False,False,False,False,False,False,True,False,False,False,True
1.897,-0.341,-0.217,-0.291,-0.157,-1.173,False,False,False,False,False,False,False,True,False,False,False,True
-0.125,-0.335,-0.287,-0.287,-0.269,-1.165,False,False,False,False,False,False,False,False,False,True,False,True
-0.264,-0.341,-0.287,2.953,-0.268,-1.156,False,False,False,False,False,False,False,False,True,False,False,True
-1.868,-0.341,-0.287,-0.291,-0.269,-1.175,True,False,False,False,False,False,False,False,False,False,False,True
0.642,-0.341,-0.287,-0.291,-0.269,-1.175,True,False,True,False,False,False,False,False,False,False,False,True
-0.125,0.082,0.092,5.357,-0.266,-1.175,True,False,False,False,False,False,False,False,False,False,False,True
0.503,-0.341,-0.287,-0.291,-0.269,-1.163,False,False,True,False,False,False,False,False,False,True,False,True
-0.474,-0.272,0.400,-0.043,-0.268,-1.154,False,False,False,False,False,False,False,False,True,False,False,True
2.316,-0.341,0.084,-0.291,-0.247,-1.152,False,False,False,False,False,False,False,False,True,False,False,True
-0.962,-0.341,-0.287,-0.291,-0.269,-1.150,False,True,True,False,False,False,False,False,True,False,False,True
0.294,-0.341,-0.287,0.000,-0.269,-1.171,False,False,True,False,False,False,False,True,False,False,False,True
2.316,-0.339,-0.191,0.039,0.137,-1.165,False,False,False,False,False,False,False,False,False,True,False,False
-2.008,-0.341,-0.287,-0.291,-0.269,-1.157,False,False,True,False,False,False,False,False,False,True,False,True
-0.752,-0.339,-0.125,0.456,-0.269,-1.157,False,False,False,False,False,False,False,False,False,True,False,True
-0.543,2.609,-0.264,-0.291,-0.248,-1.148,False,False,False,False,False,False,False,False,True,False,False,True
-0.125,0.861,-0.287,-0.287,-0.269,-1.169,False,True,False,False,False,False,False,True,False,False,False,True
0.921,1.004,-0.287,-0.276,-0.269,-1.146,False,False,False,False,False,False,False,False,True,False,False,True
-0.683,-0.053,-0.287,-0.282,0.372,-1.152,False,False,False,False,False,False,False,False,True,False,False,False
-0.822,-0.316,1.071,-0.291,-0.223,-1.150,False,False,False,False,False,False,False,False,True,False,False,False
-1.031,-0.341,-0.287,-0.291,0.669,-1.144,False,False,False,False,False,False,False,False,True,False,False,True
0.572,-0.271,-0.235,0.945,-0.258,-1.171,False,True,False,False,False,False,True,False,False,False,False,False
0.921,-0.339,4.979,-0.291,0.178,-1.171,True,False,False,False,False,True,False,False,False,False,False,True
-0.125,-0.118,-0.287,1.413,-0.269,-1.142,False,True,False,False,False,False,False,False,True,False,False,True
-0.055,-0.319,-0.287,1.877,-0.269,-1.148,False,True,False,False,False,False,False,False,True,False,False,False
0.642,-0.341,3.376,-0.291,8.250,-1.169,True,False,False,False,False,True,False,False,False,False,False,True
-1.101,-0.341,-0.287,-0.291,-0.269,-1.152,False,False,True,False,False,False,False,False,False,True,False,True
0.921,10.886,-0.287,-0.291,-0.269,-1.146,False,True,False,False,False,False,False,False,True,False,False,False
-1.868,-0.341,-0.287,-0.291,-0.269,-1.146,False,True,True,False,False,False,False,False,True,False,False,False
-1.450,-0.341,-0.287,-0.291,-0.269,-1.146,False,True,False,False,False,False,False,False,True,False,False,False
-0.334,0.702,-0.287,-0.291,-0.254,-1.150,False,False,False,False,False,False,False,False,False,True,False,True
0.782,-0.341,-0.287,-0.291,-0.269,-1.167,True,False,True,False,False,True,False,False,False,False,False,True
0.991,-0.021,-0.287,-0.291,0.184,-1.144,False,False,False,False,False,False,False,False,True,False,False,False
1.130,-0.341,-0.287,-0.291,-0.269,-1.167,False,True,True,False,False,False,False,True,False,False,False,True
0.433,-0.341,-0.287,-0.291,-0.269,-1.148,False,False,True,False,False,False,False,False,False,True,False,True
-0.195,0.000,-0.287,-0.291,-0.269,-1.146,False,False,True,False,False,False,False,False,False,True,False,True
-0.125,-0.339,0.150,-0.239,-0.269,-1.138,False,False,False,False,False,False,False,False,True,False,False,True
-0.683,-0.341,-0.287,0.831,-0.239,-1.159,False,False,False,False,False,False,False,False,False,True,False,False
-2.008,-0.341,-0.287,0.000,-0.269,-1.159,False,False,True,False,False,False,False,False,False,True,False,False
-1.798,-0.341,-0.287,-0.291,-0.269,-1.159,False,False,True,False,False,False,False,False,False,True,False,False
1.758,-0.341,0.470,-0.291,0.293,-1.173,True,False,False,False,False,False,False,False,False,False,False,True
-0.195,-0.341,0.250,-0.282,-0.269,-1.156,False,False,False,False,False,False,False,False,False,True,False,False
-0.195,-0.341,1.476,1.311,-0.192,-1.156,False,False,False,False,False,False,False,False,False,True,False,False
-0.404,0.131,-0.019,0.590,-0.269,-1.140,False,False,False,False,False,False,False,False,True,False,False,False
-1.868,-0.341,-0.287,-0.291,-0.269,-1.154,False,False,False,False,False,False,False,False,False,True,False,False
0.154,-0.341,-0.287,-0.291,-0.269,-0.334,False,True,True,False,False,False,False,False,True,False,False,True
-0.752,-0.341,-0.287,-0.291,-0.189,-1.132,False,False,False,False,False,False,False,False,True,False,False,True
-0.334,-0.341,0.000,-0.291,-0.254,-1.130,False,False,False,False,False,False,False,False,True,False,False,True
-1.380,-0.341,-0.287,-0.291,-0.269,-1.142,False,False,True,False,False,False,False,False,False,True,False,True
-1.589,-0.341,-0.287,-0.291,-0.269,-1.142,False,False,True,False,False,False,False,False,False,True,False,True
-0.125,-0.341,-0.287,0.663,-0.153,-1.136,False,False,False,False,False,False,False,False,True,False,False,False
-0.543,2.302,-0.284,-0.262,-0.269,-1.173,False,True,False,False,False,False,True,False,False,False,False,True
-0.404,-0.341,-0.287,-0.291,-0.269,-1.140,False,False,True,False,False,False,False,False,False,True,False,True
0.154,0.511,-0.287,0.255,-0.269,-1.140,False,False,False,False,False,False,False,False,False,True,False,True
-2.008,-0.341,-0.287,-0.291,-0.269,-1.140,False,False,False,False,False,False,False,False,False,True,False,True
0.224,-0.341,-0.030,-0.281,0.405,-0.334,True,False,False,False,False,False,False,False,True,False,False,True
0.782,-0.341,-0.080,-0.291,1.220,-1.167,True,False,False,False,True,False,False,False,False,False,False,False
0.921,3.008,6.874,-0.291,0.124,-1.167,True,False,False,False,True,False,False,False,False,False,False,False
-0.055,-0.341,-0.287,-0.291,-0.269,-1.167,True,False,True,False,True,False,False,False,False,False,False,False
0.015,-0.341,-0.287,-0.291,-0.269,-1.165,True,False,True,False,False,False,False,True,False,False,False,True
1.340,-0.341,1.304,-0.145,-0.258,-1.175,True,False,False,True,True,False,False,False,False,False,False,True
2.455,-0.341,-0.287,1.055,-0.269,-1.132,False,False,False,False,False,False,False,False,True,False,False,False
-0.125,-0.216,-0.189,0.427,-0.268,-1.138,False,False,False,False,False,False,False,False,False,True,False,True
-0.195,-0.341,-0.287,-0.291,-0.000,-1.130,False,True,False,False,False,False,False,False,True,False,False,False
0.294,-0.339,1.107,-0.291,0.087,-1.169,True,False,False,False,False,False,True,False,False,False,False,False
0.712,-0.341,1.183,-0.291,5.818,-1.177,False,False,False,False,False,False,False,False,False,False,False,False
-1.101,-0.341,-0.287,-0.291,-0.269,-1.177,True,False,True,False,False,False,False,False,False,False,False,False
-0.334,-0.341,-0.287,-0.291,-0.000,-1.128,False,True,True,False,False,False,False,False,True,False,False,False
0.015,-0.341,-0.287,-0.291,-0.204,-1.136,False,False,False,False,False,False,False,False,False,True,False,True
-0.752,-0.257,0.087,-0.209,-0.268,-1.124,False,False,False,False,False,False,False,False,True,False,False,False
2.664,-0.341,-0.287,-0.291,-0.269,-1.124,False,True,True,False,False,False,False,False,True,False,False,True
0.433,0.722,-0.287,0.205,-0.247,-1.163,False,True,False,False,False,False,False,True,False,False,False,True
2.246,3.226,-0.078,-0.276,-0.267,-1.171,False,True,False,True,False,False,True,False,False,False,False,True
1.130,2.847,-0.284,-0.291,-0.269,-1.161,False,True,False,False,False,False,False,True,False,False,False,True
-0.474,-0.341,-0.287,0.000,-0.269,-1.134,False,False,True,False,False,False,False,False,False,True,False,True
-0.683,-0.341,-0.287,-0.291,-0.269,-1.120,False,True,True,False,False,False,False,False,True,False,False,True
0.503,3.810,-0.287,-0.291,-0.269,-1.167,False,True,False,False,False,False,True,False,False,False,False,True
-0.683,-0.341,-0.279,0.931,-0.269,-1.144,False,False,False,False,False,False,False,False,False,True,False,False
1.270,-0.194,-0.025,-0.080,-0.220,-1.132,False,False,False,False,False,False,False,False,False,True,False,True
-1.101,-0.341,-0.287,-0.291,-0.269,-1.142,False,False,True,False,False,False,False,False,False,True,False,False
0.363,-0.341,-0.274,-0.291,-0.086,-1.167,False,False,False,False,False,False,False,True,False,False,False,False
0.433,-0.341,-0.287,-0.291,-0.269,-1.165,True,False,True,False,False,True,False,False,False,False,False,True
-0.334,-0.341,-0.287,-0.291,-0.269,-1.140,False,False,True,False,False,False,False,False,False,True,False,False
-0.195,0.326,-0.287,-0.291,0.139,-1.120,False,False,False,False,False,False,False,False,True,False,False,False
0.154,0.000,-0.287,-0.128,-0.269,-1.118,False,True,False,False,False,False,False,False,True,False,False,False
-0.613,-0.341,-0.024,0.061,-0.269,-1.116,False,False,False,False,False,False,False,False,True,False,False,True
1.897,-0.341,-0.287,-0.291,-0.269,-1.128,False,False,False,False,False,False,False,False,False,True,False,True
1.479,-0.341,-0.287,-0.291,-0.269,-1.126,False,False,True,False,False,False,False,False,False,True,False,True
0.921,1.284,-0.287,-0.274,-0.202,-1.116,False,True,False,False,False,False,False,False,True,False,False,False
-0.125,-0.341,-0.287,-0.291,-0.269,-1.124,False,False,True,False,False,False,False,False,False,True,False,True
0.642,-0.341,-0.287,-0.291,-0.269,-1.138,False,False,True,False,False,False,False,False,False,True,False,False
0.851,-0.341,-0.287,-0.291,0.267,-1.114,False,False,False,False,False,False,False,False,True,False,False,False
-0.474,5.903,-0.287,-0.291,-0.215,-1.134,False,False,False,False,False,False,False,False,False,True,False,False
-0.195,-0.341,-0.287,-0.291,-0.269,-1.161,True,False,True,False,True,False,False,False,False,False,False,False
-0.822,-0.341,-0.287,-0.291,-0.269,-1.161,True,False,True,False,True,False,False,False,False,False,False,False
1.967,-0.265,0.771,-0.291,-0.150,-1.122,False,False,False,False,False,False,False,False,False,True,False,True
-0.822,-0.341,-0.287,-0.291,-0.269,-1.122,False,False,True,False,False,False,False,False,False,True,False,True
0.433,-0.341,-0.287,-0.291,-0.269,-1.104,False,True,True,False,False,False,False,False,True,False,False,False
-1.101,-0.341,-0.287,-0.291,-0.269,-1.108,False,True,True,False,False,False,False,False,True,False,False,True
-0.125,1.729,-0.287,-0.210,-0.148,-1.108,False,True,False,False,False,False,False,False,True,False,False,True
0.154,-0.341,-0.287,-0.291,-0.269,-1.132,False,False,True,False,False,False,False,False,False,True,False,False
-0.334,-0.341,-0.287,-0.291,0.231,-1.157,False,False,False,False,False,False,False,True,False,False,False,True
-0.683,-0.341,-0.287,-0.291,-0.269,-1.118,False,False,True,False,False,False,False,False,False,True,False,True
0.224,-0.341,-0.287,-0.291,-0.269,-1.130,False,False,True,False,False,False,False,False,False,True,False,False
2.037,-0.341,0.330,-0.291,-0.269,-1.156,False,False,False,False,False,False,False,True,False,False,False,True
-0.543,0.094,-0.287,-0.264,-0.115,-1.102,False,False,False,False,False,False,False,False,True,False,False,False
0.642,-0.341,6.202,-0.289,1.594,-1.173,True,False,False,False,True,False,False,False,False,False,False,True
0.642,4.834,-0.287,-0.021,-0.164,-1.165,False,True,False,False,False,False,True,False,False,False,False,True
-0.683,-0.339,-0.150,0.836,-0.259,-1.126,False,False,False,False,False,False,False,False,False,True,False,False
-2.008,-0.341,-0.287,-0.291,-0.269,-1.126,False,False,False,False,False,False,False,False,False,True,False,False
-1.798,-0.341,-0.287,-0.291,-0.269,-1.126,False,False,False,False,False,False,False,False,False,True,False,False
-0.613,-0.341,-0.287,-0.286,-0.188,-1.124,False,False,False,False,False,False,False,False,False,True,False,False
-0.334,-0.341,-0.287,-0.291,-0.269,-1.171,True,False,True,False,False,True,False,False,False,False,False,False
0.572,-0.315,-0.196,0.422,-0.064,-1.106,False,False,False,False,False,False,False,False,True,False,False,True
-0.264,-0.247,-0.287,-0.291,0.575,-1.122,False,False,False,False,False,False,False,False,False,True,False,False
1.897,-0.341,-0.287,-0.291,-0.269,-1.116,False,False,True,False,False,False,False,False,False,True,False,True
1.409,-0.213,-0.285,0.380,-0.183,-1.161,False,False,False,False,False,False,False,True,False,False,False,False
-1.241,-0.341,-0.287,-0.291,-0.269,-1.114,False,False,True,False,False,False,False,False,False,True,False,True
-1.938,-0.341,-0.287,-0.291,-0.269,-1.120,False,False,True,False,False,False,False,False,False,True,False,False
-1.450,-0.341,-0.287,-0.291,-0.269,-1.120,False,False,False,False,False,False,False,False,False,True,False,False
0.712,-0.341,-0.287,-0.274,-0.269,-1.120,False,False,False,False,False,False,False,False,False,True,False,False
-1.868,-0.341,-0.287,-0.291,-0.269,-1.096,False,True,True,False,False,False,False,False,True,False,False,False
-0.404,0.000,-0.287,-0.277,-0.269,-1.096,False,True,False,False,False,False,False,False,True,False,False,False
-2.008,-0.341,-0.287,-0.291,-0.269,-1.096,False,True,False,False,False,False,False,False,True,False,False,False
0.712,0.275,-0.287,1.161,-0.269,-1.094,False,True,False,False,False,False,False,False,True,False,False,False
-0.264,1.254,-0.287,0.913,-0.263,-1.167,False,True,False,False,False,False,True,False,False,False,False,False
0.503,-0.341,0.322,-0.291,0.238,-1.167,True,False,False,False,False,True,False,False,False,False,False,False
1.618,-0.341,-0.287,-0.291,-0.269,-1.118,False,False,False,False,False,False,False,False,False,True,False,False
-0.752,-0.341,-0.287,-0.291,-0.269,-1.112,False,False,True,False,False,False,False,False,False,True,False,True
-0.962,-0.341,-0.287,-0.291,-0.269,-1.116,False,False,True,False,False,False,False,False,False,True,False,False
0.433,-0.341,-0.287,-0.291,-0.269,-1.171,True,False,True,False,True,False,False,False,False,False,False,True
1.270,-0.341,-0.287,-0.291,-0.269,-1.171,True,False,True,False,True,False,False,False,False,False,False,True
1.130,-0.341,-0.287,-0.291,-0.269,-1.159,True,False,True,False,True,False,False,False,False,False,False,False
-0.125,-0.341,1.239,0.000,0.122,-1.173,True,False,False,False,False,False,False,False,False,False,False,False
1.549,-0.341,-0.287,-0.291,-0.269,-1.161,True,False,True,False,False,True,False,False,False,False,False,True
0.015,-0.341,-0.286,-0.180,0.353,-1.110,False,False,False,False,False,False,False,False,False,True,False,True
-0.125,-0.338,0.792,-0.271,-0.161,-1.159,True,False,False,False,False,True,False,False,False,False,False,True
-0.683,-0.341,-0.287,-0.291,-0.269,-1.114,False,False,True,False,False,False,False,False,False,True,False,False
-0.334,-0.341,-0.287,0.000,-0.269,-1.165,False,False,True,False,False,False,True,False,False,False,False,False
0.015,1.027,-0.287,-0.061,-0.269,-1.090,False,True,False,False,False,False,False,False,True,False,False,False
-1.241,-0.341,-0.287,-0.291,-0.269,-1.090,False,True,True,False,False,False,False,False,True,False,False,False
-0.822,0.945,-0.287,0.223,-0.269,-1.090,False,True,False,False,False,False,False,False,True,False,False,False
-1.101,-0.050,-0.287,-0.291,0.383,-1.159,False,False,False,False,False,False,False,True,False,False,False,False
0.433,-0.118,-0.169,-0.291,0.072,-1.088,False,False,False,False,False,False,False,False,True,False,False,False
-0.543,0.216,-0.111,-0.291,-0.140,-1.086,False,False,False,False,False,False,False,False,True,False,False,False
-0.543,-0.341,-0.252,-0.291,1.424,-1.098,False,False,False,False,False,False,False,False,True,False,False,True
0.642,1.959,-0.287,-0.291,-0.269,-1.084,False,False,False,False,False,False,False,False,True,False,False,False
-0.683,-0.341,-0.287,-0.291,-0.269,-1.106,False,False,True,False,False,False,False,False,False,True,False,False
-1.868,-0.341,-0.287,-0.291,-0.269,-1.104,False,False,True,False,False,False,False,False,False,True,False,False
-2.008,-0.341,-0.287,-0.291,-0.269,-1.104,False,False,False,False,False,False,False,False,False,True,False,False
-1.101,-0.341,-0.287,-0.291,-0.269,-1.104,False,False,True,False,False,False,False,False,False,True,False,False
-0.264,-0.156,-0.235,0.000,-0.269,-1.157,False,False,False,False,False,False,False,True,False,False,False,False
-0.892,-0.341,-0.285,-0.291,0.701,-1.082,False,False,False,False,False,False,False,False,True,False,False,False
-1.938,-0.341,-0.287,-0.291,-0.269,-1.104,False,False,False,False,False,False,False,False,False,True,False,False
-0.962,-0.341,-0.287,-0.291,-0.269,-1.104,False,False,True,False,False,False,False,False,False,True,False,False
-0.543,3.050,-0.287,-0.092,-0.269,-1.152,False,True,False,False,False,False,False,True,False,False,False,True
-0.404,1.501,-0.237,-0.289,-0.269,-1.152,False,True,False,False,False,False,False,True,False,False,False,True
0.294,2.590,-0.280,0.024,-0.269,-1.152,False,True,False,False,False,False,False,True,False,False,False,True
-0.543,-0.341,-0.287,-0.291,-0.269,-1.152,False,True,True,False,False,False,False,True,False,False,False,True
0.851,1.524,-0.287,0.213,0.634,-1.152,False,True,False,False,False,False,False,True,False,False,False,True
-0.892,1.046,-0.287,0.079,-0.269,-1.152,False,True,False,False,False,False,False,True,False,False,False,True
0.921,-0.341,-0.287,-0.291,-0.269,-1.152,False,True,True,False,False,False,False,True,False,False,False,True
-0.613,1.791,-0.287,-0.291,-0.269,-1.096,False,True,False,False,False,False,False,False,True,False,False,True
-0.334,-0.341,-0.287,-0.291,-0.269,-1.096,False,True,True,False,False,False,False,False,True,False,False,True
-0.892,-0.341,-0.287,-0.291,-0.269,-1.150,False,True,True,False,False,False,False,True,False,False,False,True
-0.543,-0.341,-0.286,0.822,-0.261,-1.108,False,False,False,False,False,False,False,False,False,True,False,True
0.224,-0.066,-0.287,-0.282,-0.269,-1.094,False,True,False,True,False,False,False,False,True,False,False,True
2.037,-0.341,-0.287,-0.291,-0.269,-1.102,False,False,True,False,False,False,False,False,False,True,False,False
-0.334,-0.335,-0.283,-0.291,-0.199,-1.092,False,False,False,False,False,False,False,False,True,False,False,True
0.084,-0.212,-0.287,-0.289,-0.269,-1.090,False,True,False,False,False,False,False,False,True,False,False,True
-0.125,-0.341,0.000,-0.291,-0.269,-1.106,False,False,True,False,False,False,False,False,False,True,False,True
0.224,-0.256,-0.287,0.138,-0.269,-1.088,False,True,False,False,False,False,False,False,True,False,False,True
0.991,0.000,0.270,-0.291,-0.269,-1.079,False,False,False,False,False,False,False,False,True,False,False,False
0.921,-0.341,-0.287,-0.291,-0.269,-1.156,True,False,True,False,True,False,False,False,False,False,False,False
0.572,0.625,-0.287,-0.291,0.012,-0.334,False,True,False,False,False,False,False,False,True,False,False,True
0.433,-0.341,-0.287,-0.291,-0.269,-1.075,False,True,True,False,False,False,False,False,True,False,False,False
0.294,-0.341,0.496,-0.291,0.716,-1.156,True,False,False,False,False,False,False,True,False,False,False,False
-0.752,0.134,-0.287,0.866,-0.269,-1.086,False,False,False,False,False,False,False,False,True,False,False,True
-0.543,-0.341,-0.287,-0.291,-0.269,-1.104,False,False,True,False,False,False,False,False,False,True,False,True
0.991,-0.341,-0.287,-0.291,-0.269,-0.334,False,True,True,False,False,False,False,False,True,False,False,True
-1.031,-0.341,-0.287,-0.291,-0.269,-1.084,False,True,True,False,False,False,False,False,True,False,False,True
1.200,-0.341,1.952,-0.291,-0.263,-1.165,True,False,False,False,False,True,False,False,False,False,False,False
0.294,-0.341,-0.233,1.042,9.360,-1.165,True,False,False,False,False,True,False,False,False,False,False,False
-0.543,4.127,-0.287,0.190,-0.269,-1.161,False,True,False,False,False,False,True,False,False,False,False,False
0.294,-0.341,-0.287,-0.291,0.669,-1.157,True,False,False,False,False,True,False,False,False,False,False,True
1.270,0.000,-0.287,-0.291,-0.269,-1.102,False,False,True,False,False,False,False,False,False,True,False,True
1.758,-0.341,-0.287,-0.291,-0.269,-1.156,False,False,True,False,False,True,False,False,False,False,False,True
0.084,0.167,0.149,0.615,-0.269,-1.073,False,False,False,False,False,False,False,False,True,False,False,False
0.015,0.072,0.098,-0.291,-0.268,-1.094,False,False,False,False,False,False,False,False,False,True,False,False
-0.543,0.724,-0.179,0.392,-0.264,-1.071,False,False,False,False,False,False,False,False,True,False,False,False
-0.334,-0.341,-0.287,-0.291,-0.269,-1.171,True,False,True,False,False,False,False,False,False,False,False,True
-0.543,2.182,-0.287,0.000,-0.269,-1.081,False,True,False,False,False,False,False,False,True,False,False,True
2.176,-0.341,-0.287,-0.291,-0.269,-1.081,False,True,True,False,False,False,False,False,True,False,False,True
-0.474,-0.341,-0.287,0.233,-0.188,-1.079,False,False,False,False,False,False,False,False,True,False,False,True
-0.195,-0.341,2.730,-0.291,1.544,-1.146,True,False,False,False,False,False,False,True,False,False,False,True
-0.195,-0.241,-0.269,-0.291,0.440,-1.067,False,False,False,False,False,False,False,False,True,False,False,False
-0.055,-0.341,-0.287,-0.291,-0.269,-1.092,False,False,True,False,False,False,False,False,False,True,False,False
0.712,-0.341,-0.287,-0.291,-0.269,-1.161,True,False,True,False,False,False,True,False,False,False,False,True
-1.101,-0.162,-0.287,-0.291,-0.268,-1.077,False,False,False,False,False,False,False,False,True,False,False,True
1.270,-0.341,-0.142,0.700,-0.269,-1.075,False,False,False,False,False,False,False,False,True,False,False,True
2.386,-0.341,-0.272,-0.077,0.825,-1.061,False,False,False,False,False,False,False,False,True,False,False,False
-0.125,-0.341,-0.287,-0.291,-0.269,-1.159,True,False,True,False,False,False,True,False,False,False,False,True
1.479,-0.274,1.212,-0.291,-0.269,-1.057,False,False,False,False,False,False,False,False,True,False,False,False
0.433,-0.341,-0.287,-0.291,-0.000,-0.334,False,False,False,False,False,False,False,False,True,False,False,True
1.130,-0.341,-0.226,-0.291,0.025,-1.088,False,False,False,False,False,False,False,False,False,True,False,False
-0.683,-0.341,-0.287,3.188,-0.269,-1.053,False,False,False,False,False,False,False,False,True,False,False,False
-0.543,-0.341,0.288,-0.291,-0.269,-1.071,False,False,False,False,False,False,False,False,True,False,False,True
0.015,-0.341,-0.287,-0.291,-0.269,-1.086,False,False,True,False,False,False,False,False,False,True,False,False
-0.474,-0.119,0.123,-0.289,-0.267,-1.051,False,False,False,False,False,False,False,False,True,False,False,False
-1.031,-0.341,-0.287,-0.291,-0.269,-1.146,True,False,True,False,False,False,False,True,False,False,False,False
0.921,-0.341,-0.287,-0.291,-0.269,-1.146,True,False,True,False,False,False,False,True,False,False,False,False
1.967,-0.336,0.516,-0.242,-0.258,-1.049,False,False,False,False,False,False,False,False,True,False,False,False
